word,type,translation
journal,n.,日记；杂志；定期刊物
transport,n. & vt.,运送；运输
prefer,vt.,更喜欢；选择某事物（而不选择其他事物）
disadvantage,n.,不利条件；不便之处
fare,n.,费用
route,n.,路线；路途
Mekong,n.,湄公河
flow,vi. & n.,流动；流出；流量
ever since,,从那以后
persuade,vt.,说服；劝说
cycle,vi.,骑自行车
graduate,vi. & n.,毕业；大学毕业生
finally,adv.,最后；终于
schedule,n. & vt.,时间表；进度表；为某事安排时间
fond,adj.,喜爱的；慈爱的；宠爱的
be fond of,,喜爱；喜欢
shortcoming,n.,缺点
stubborn,adj.,顽固的；固执的
organize,vt.,组织；成立
care about,,关心；忧虑；惦念
detail,n.,细节；详情
source,n.,来源；水源
determine,vt.,决定；确定；下定决心
determined,adj.,坚决的；有决心的
change one's mind,,改变主意
journey,n.,旅行；旅程
altitude,n.,海拔高度；高处
make up one's mind,,下定决心；决定
give in,,投降；屈服；让步
atlas,n.,地图；地图集
glacier,n.,冰河；冰川
Tibetan,adj. & n.,西藏的；藏族的；藏族人的；（西）藏语；西藏人；藏族人
rapids,n.,急流
valley,n. ,（山）谷；流域
waterfall,n. ,瀑布
pace,vi. & n.,缓慢而行；踱步；一步；速度；步调
bend,n. & vt. & vi.,弯；拐角；使弯曲；弯身；弯腰
meander,n.,（指河流等）蜿蜒缓慢流动
delta,n.,三角洲
attitude,n.,态度；看法
boil,vi.,（指液体）沸腾；（水）开
forecast,n. & vt.,预测；预报
parcel,n.,小包；包裹
insurance,n.,保险
wool,n.,羊毛；毛织品
as usual,,照常
reliable,adj.,可信赖的；可靠的
view,n. & vt.,风景；视野；观点；见解；观看；注视；考虑
yak,n.,牦牛
pillow,n.,枕头；枕垫
midnight,n.,午夜；子夜
at midnight,,在午夜
flame,n.,火焰；光芒；热情
beneath,prep.,在...下面
Laos,n.,老挝（东南亚国家）
Laotian,n. & adj.,老挝人；老挝（人）的
temple,n.,庙宇；寺庙
cave,n.,洞穴；地窖
